LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
location10 et al                3                   3.00                1.00                1.00                
location100 et al               4                   4.00                1.00                1.00                
location1000 et al              18                  18.00               1.00                1.00                
location10000 et al             1                   1.00                1.00                1.00                
location10003 et al             5                   5.00                1.00                1.00                
location1002 et al              6                   6.00                1.00                1.00                
location10050 et al             3                   3.00                1.00                1.00                
location10098 et al             2                   2.00                1.00                1.00                
location101 et al               14                  14.00               1.00                1.00                
location10147 et al             3                   3.00                1.00                1.00                
location10195 et al             14                  14.00               1.00                1.00                
location10245 et al             16                  16.00               1.00                1.00                
location10294 et al             12                  12.00               1.00                1.00                
location10343 et al             3                   3.00                1.00                1.00                
location10392 et al             5                   5.00                1.00                1.00                
location10441 et al             5                   5.00                1.00                1.00                
location10489 et al             15                  15.00               1.00                1.00                
location1051 et al              13                  13.00               1.00                1.00                
location10538 et al             13                  13.00               1.00                1.00                
location10588 et al             15                  15.00               1.00                1.00                
location10637 et al             8                   8.00                1.00                1.00                
location10686 et al             12                  12.00               1.00                1.00                
location10735 et al             5                   5.00                1.00                1.00                
location10750 et al             7                   7.00                1.00                1.00                
location10799 et al             1                   1.00                1.00                1.00                
location10848 et al             3                   3.00                1.00                1.00                
location10897 et al             10                  10.00               1.00                1.00                
location10945 et al             5                   5.00                1.00                1.00                
location10971 et al             1                   1.00                1.00                1.00                
location10974 et al             6                   6.00                1.00                1.00                
location1101 et al              5                   5.00                1.00                1.00                
location11023 et al             3                   3.00                1.00                1.00                
location11072 et al             10                  10.00               1.00                1.00                
location11121 et al             1                   1.00                1.00                1.00                
location11130 et al             3                   3.00                1.00                1.00                
location11179 et al             8                   8.00                1.00                1.00                
location11228 et al             14                  14.00               1.00                1.00                
location11277 et al             9                   9.00                1.00                1.00                
location11326 et al             5                   5.00                1.00                1.00                
location11376 et al             11                  11.00               1.00                1.00                
location11426 et al             9                   9.00                1.00                1.00                
location11476 et al             1                   1.00                1.00                1.00                
location1149 et al              13                  13.00               1.00                1.00                
location11526 et al             10                  10.00               1.00                1.00                
location11576 et al             6                   6.00                1.00                1.00                
location11605 et al             9                   9.00                1.00                1.00                
location11654 et al             7                   7.00                1.00                1.00                
location11703 et al             8                   8.00                1.00                1.00                
location11752 et al             14                  14.00               1.00                1.00                
location11801 et al             10                  10.00               1.00                1.00                
location11850 et al             5                   5.00                1.00                1.00                
location11899 et al             0                   0                   n/a                 n/a                 
location11945 et al             5                   5.00                1.00                1.00                
location1198 et al              6                   6.00                1.00                1.00                
location11994 et al             15                  15.00               1.00                1.00                
location12043 et al             2                   2.00                1.00                1.00                
location12092 et al             5                   5.00                1.00                1.00                
location12142 et al             16                  16.00               1.00                1.00                
location12192 et al             2                   2.00                1.00                1.00                
location12241 et al             15                  15.00               1.00                1.00                
location12290 et al             7                   7.00                1.00                1.00                
location12339 et al             5                   5.00                1.00                1.00                
location12388 et al             9                   9.00                1.00                1.00                
location12437 et al             15                  15.00               1.00                1.00                
location1247 et al              12                  12.00               1.00                1.00                
location12486 et al             9                   9.00                1.00                1.00                
location12535 et al             11                  11.00               1.00                1.00                
location12584 et al             3                   3.00                1.00                1.00                
location12634 et al             3                   3.00                1.00                1.00                
location12663 et al             1                   1.00                1.00                1.00                
location12712 et al             9                   9.00                1.00                1.00                
location12761 et al             5                   5.00                1.00                1.00                
location12809 et al             5                   5.00                1.00                1.00                
location12858 et al             4                   4.00                1.00                1.00                
location12907 et al             21                  21.00               1.00                1.00                
location12956 et al             13                  13.00               1.00                1.00                
location1296 et al              7                   7.00                1.00                1.00                
location13005 et al             3                   3.00                1.00                1.00                
location13054 et al             4                   4.00                1.00                1.00                
location13103 et al             6                   6.00                1.00                1.00                
location13152 et al             0                   0                   n/a                 n/a                 
location13201 et al             11                  11.00               1.00                1.00                
location13250 et al             2                   2.00                1.00                1.00                
location13298 et al             2                   2.00                1.00                1.00                
location13345 et al             3                   3.00                1.00                1.00                
location13394 et al             4                   4.00                1.00                1.00                
location13444 et al             13                  13.00               1.00                1.00                
location1345 et al              5                   5.00                1.00                1.00                
location13493 et al             14                  14.00               1.00                1.00                
location13543 et al             12                  12.00               1.00                1.00                
location13592 et al             2                   2.00                1.00                1.00                
location1360 et al              8                   8.00                1.00                1.00                
location13641 et al             8                   8.00                1.00                1.00                
location13690 et al             5                   5.00                1.00                1.00                
location13738 et al             4                   4.00                1.00                1.00                
location13787 et al             12                  12.00               1.00                1.00                
location13835 et al             8                   8.00                1.00                1.00                
location13884 et al             8                   8.00                1.00                1.00                
location13932 et al             10                  10.00               1.00                1.00                
location13981 et al             6                   6.00                1.00                1.00                
location14030 et al             1                   1.00                1.00                1.00                
location14079 et al             8                   8.00                1.00                1.00                
location1408 et al              7                   7.00                1.00                1.00                
location14128 et al             3                   3.00                1.00                1.00                
location14178 et al             12                  12.00               1.00                1.00                
location14227 et al             11                  11.00               1.00                1.00                
location14276 et al             0                   0                   n/a                 n/a                 
location14325 et al             12                  12.00               1.00                1.00                
location14374 et al             6                   6.00                1.00                1.00                
location14424 et al             2                   2.00                1.00                1.00                
location14453 et al             6                   6.00                1.00                1.00                
location14502 et al             5                   5.00                1.00                1.00                
location14551 et al             3                   3.00                1.00                1.00                
location1457 et al              9                   9.00                1.00                1.00                
location14600 et al             5                   5.00                1.00                1.00                
location14649 et al             3                   3.00                1.00                1.00                
location14698 et al             4                   4.00                1.00                1.00                
location14747 et al             6                   6.00                1.00                1.00                
location14796 et al             8                   8.00                1.00                1.00                
location14845 et al             8                   8.00                1.00                1.00                
location14893 et al             19                  19.00               1.00                1.00                
location14943 et al             3                   3.00                1.00                1.00                
location14993 et al             9                   9.00                1.00                1.00                
location150 et al               1                   1.00                1.00                1.00                
location15043 et al             7                   7.00                1.00                1.00                
location1506 et al              14                  14.00               1.00                1.00                
location15060 et al             9                   9.00                1.00                1.00                
location15109 et al             9                   9.00                1.00                1.00                
location15158 et al             1                   1.00                1.00                1.00                
location15207 et al             14                  14.00               1.00                1.00                
location15256 et al             14                  14.00               1.00                1.00                
location15305 et al             0                   0                   n/a                 n/a                 
location15354 et al             5                   5.00                1.00                1.00                
location15402 et al             5                   5.00                1.00                1.00                
location15452 et al             2                   2.00                1.00                1.00                
location15500 et al             3                   3.00                1.00                1.00                
location1555 et al              16                  16.00               1.00                1.00                
location15550 et al             1                   1.00                1.00                1.00                
location15599 et al             3                   3.00                1.00                1.00                
location15648 et al             21                  21.00               1.00                1.00                
location15697 et al             6                   6.00                1.00                1.00                
location15746 et al             14                  14.00               1.00                1.00                
location15795 et al             2                   2.00                1.00                1.00                
location15844 et al             3                   3.00                1.00                1.00                
location15893 et al             8                   8.00                1.00                1.00                
location15942 et al             3                   3.00                1.00                1.00                
location15950 et al             7                   7.00                1.00                1.00                
location15999 et al             0                   0                   n/a                 n/a                 
location1604 et al              2                   2.00                1.00                1.00                
location16048 et al             5                   5.00                1.00                1.00                
location16096 et al             6                   6.00                1.00                1.00                
location16145 et al             15                  15.00               1.00                1.00                
location16194 et al             13                  13.00               1.00                1.00                
location16243 et al             10                  10.00               1.00                1.00                
location16291 et al             7                   7.00                1.00                1.00                
location16304 et al             8                   8.00                1.00                1.00                
location16353 et al             10                  10.00               1.00                1.00                
location16402 et al             10                  10.00               1.00                1.00                
location16451 et al             14                  14.00               1.00                1.00                
location16500 et al             12                  12.00               1.00                1.00                
location1654 et al              27                  27.00               1.00                1.00                
location16549 et al             13                  13.00               1.00                1.00                
location16597 et al             5                   5.00                1.00                1.00                
location16646 et al             1                   1.00                1.00                1.00                
location16695 et al             11                  11.00               1.00                1.00                
location16744 et al             5                   5.00                1.00                1.00                
location16793 et al             6                   6.00                1.00                1.00                
location16841 et al             9                   9.00                1.00                1.00                
location16890 et al             6                   6.00                1.00                1.00                
location16939 et al             5                   5.00                1.00                1.00                
location16987 et al             12                  12.00               1.00                1.00                
location1703 et al              15                  15.00               1.00                1.00                
